cache size, block size, blocks per set,hit%, runtime (cycles)
bubblesort:
512, 1, 1, 78, 425391272
512, 1, 2, 78, 413453090
512, 1, 4, 78, 412887614
512, 2, 1, 88, 235780820
512, 2, 2, 88, 232451104
512, 2, 4, 88, 231967648
512, 4, 1, 92, 140191677
512, 4, 2, 92, 134672553
512, 4, 4, 93, 134200693
512, 8, 1, 94,  99320731
512, 8, 2, 96,  88988171
512, 8, 4, 96,  88561691
512, 16,1, 95,  81937382
512, 16,2, 98,  63179822
512, 16,4, 98,  62679254 
512, 32,1, 94, 103627999
512, 32,2, 99,  54189887 
512, 32,4, 99,  53796655
512, 64,1, 91, 167612952
512, 64,2, 99,  45967056
512, 64,4, 99,  45382728


quicksort
512, 1, 1, 74,   3431095
512, 1, 2, 74,	 3451395
512, 1, 4, 73,   3478195
512, 2, 1, 84,   2075397
512, 2, 2, 84,   2077737
512, 2, 4, 94,   2090477
512, 4, 1, 88,   1361177
512, 4, 2, 89,   1354573
512, 4, 4, 88,   1358421
512, 8, 1, 92,   1004953
512, 8, 2, 92,    994313
512, 8, 4, 92,    997337
512, 16,1, 95,    752365
512, 16,2, 96,    709037
512, 16,4, 96,    708525
512, 32,1, 96,    753393
512, 32,2, 98,    623945
512, 32,4, 98,    622065
512, 64,1, 95,    937653
512, 64,2, 99,    545204
512, 64,4, 99,    537269
 

